facility_code,facility_name,county_name,district,facility_type,ownership,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
18512,Itando Mission of Hope and Health Centre,Vihiga,Sabatia,Health Centre,Christian Health Association of Kenya,29,1,f,f,Operational,0.083333,34.716667
18680,Itangani Dispensary,Kitui,Kitui Central,Dispensary,Ministry of Health,0,0,f,f,Pending Opening,-1.366667,38.016667
14584,Itare Dispensary,Bomet,Konoin,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.783333,35.35
14585,Itembe Dispensary,Bomet,Chepalungu,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.783333,35.35
16879,Itembu Dispensary,Kisii,Kenyenya,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.683333,34.766667
16709,Jaggery Medical Clinic,Bungoma,Bungoma East,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,0.566667,34.566667
10364,Jaima Clinic,Kirinyaga,Kirinyaga South,Medical Clinic,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
21223,Jalaram Medical Services,Nairobi,Westlands,Medical Clinic,Other Faith Based,0,0,f,f,Operational,-1.286389,36.817223
13374,Jalish Dispensary,Garissa,Hulugho,Dispensary,Ministry of Health,0,0,f,f,Operational,-0.456944,39.658333
18758,Jalsonga Medical Clinic,Siaya,Siaya,Medical Clinic,Non-Governmental Organizations,0,0,f,f,Operational,0.066667,34.283333
12984,Jamaa Mission Hospital,Nairobi,Makadara,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,63,8,f,f,Operational,-1.286389,36.817223
11424,Jambo Clinic,Kilifi,Malindi,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-3.216667,40.116667
18475,Jamia Islamic Intergrated,Garissa,Garissa,Dispensary,Private Practice - Nurse / Midwife,4,4,f,f,Operational,-0.456944,39.658333
17366,Jamia Med Clinic,Uasin Gishu,Eldoret West,Medical Clinic,Private Enterprise (Institution),6,2,f,f,Operational,0.514277,35.269779
17618,Jamia Mosque Dispensary,Kirinyaga,Kirinyaga South,Dispensary,Private Practice - Nurse / Midwife,0,0,f,f,Operational,-0.5,37.283333
12107,Jamii Afya Clinic,Kitui,Kitui Central,Medical Clinic,Private Enterprise (Institution),0,0,f,f,Operational,-1.366667,38.016667
11427,Jamii Clinic (Lamu),Lamu,Lamu West,Medical Clinic,Private Practice - Clinical Officer,0,0,f,f,Operational,-2.266667,40.9
