facility_id,facility_code,name,county,district,type,owner,nearest_town,beds,cots,open_24_hours,open_weekends,operational_status,latitude,longitude
35,10007,Afya Bora Medical Clinic (Muchagara),Kirinyaga,Kirinyaga East,Medical Clinic,Private Practice - Nurse / Midwife,Muchagara,0,0,f,f,Operational,-0.5,37.283333
36,10008,Afya Bora Medical Clinic (Nyeri South),Nyeri,Nyeri Central,Medical Clinic,Private Practice - Clinical Officer,Ruringu,0,0,f,f,Operational,-0.416667,36.95
37,14186,Afya Bora Medical Clinic (Turkana Central),Turkana,Turkana Central,Medical Clinic,Private Practice - Clinical Officer,Lodwar,0,0,f,f,Operational,3.116667,35.6
38,11201,Afya Clinic,Taita Taveta,Wundanyi,Medical Clinic,Private Enterprise (Institution),Wundanyi,0,0,f,f,Operational,\N,\N
39,18486,Afya Health Care,Nairobi,Roysambu,Dispensary,Private Enterprise (Institution),"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",0,0,f,f,Operational,-1.286389,36.817223
40,18067,Alpha Community Health Clinic (Migori),Migori,Migori,Medical Clinic,Private Practice - Nurse / Midwife,Oruba Estate Migori Town,2,0,f,f,Operational,-1.066667,34.466667
41,19748,Alpha Dental Services,Trans Nzoia,Trans Nzoia West,Dental Clinic,Private Practice - Medical Specialist,Kitale,0,0,f,f,Operational,1.016667,34.983333
42,10022,Alpha Family Health Care,Nyeri,Tetu,Medical Clinic,Private Practice - Nurse / Midwife,Giakanja,0,0,f,f,Operational,-0.416667,36.95
43,16321,Alpha Medical Clinic,Samburu,Samburu Central,Medical Clinic,Private Practice - Clinical Officer,Maralal Town,0,0,f,f,Operational,1.316667,36.983333
44,20992,Alpha Medical Clinic (Kambu),Makueni,Kibwezi,Medical Clinic,Private Practice - Clinical Officer,Kambu town,0,0,f,f,Operational,-1.8,37.616667
45,19321,Alpha Medical Clinic (Koibatek),Baringo,Koibatek,Medical Clinic,Private Practice - Nurse / Midwife,Eldama Ravine,0,0,f,f,Not-Operational,0.466667,35.966667
46,19040,Alpha Medical Clinic Mile Tisa,Kajiado,Kajiado Central,Medical Clinic,Private Practice - General Practitioner,Mile Tisa,0,0,f,f,Operational,-1.85,36.783333
47,20831,Alphine Health Care Centre,Bungoma,Bungoma South,Medical Clinic,Private Practice - Clinical Officer,St. Damiano Hospital,0,0,f,f,Operational,0.566667,34.566667
